,stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
8116,9022001010031004,Stureplan,59.335373,18.073309,0,9021001010031000,D
8117,9022001010031005,Stureplan,59.335176,18.073173,0,9021001010031000,A
8212,9022001010102001,Norrmalmstorg,59.333665,18.073326,0,9021001010102000,
8220,9022001010107001,Jarlaplan,59.344713,18.061585,0,9021001010107000,
8221,9022001010107002,Jarlaplan,59.344058,18.062248,0,9021001010107000,
8223,9022001010110001,Tegnérgatan,59.341616,18.064789,0,9021001010110000,
8224,9022001010110002,Tegnérgatan,59.34144,18.064623,0,9021001010110000,
8225,9022001010112001,Eriksbergsgatan,59.339726,18.067534,0,9021001010112000,
8226,9022001010112002,Eriksbergsgatan,59.339365,18.067869,0,9021001010112000,
8227,9022001010120002,Karl XII:s torg,59.329946,18.0732,0,9021001010120000,
8231,9022001010122001,Slottsbacken,59.326038,18.075225,0,9021001010122000,
8232,9022001010122002,Slottsbacken,59.325813,18.075401,0,9021001010122000,
8283,9022001010151001,Odenplan,59.342478,18.049246,0,9021001010151000,G
8287,9022001010151005,Odenplan,59.343073,18.049314,0,9021001010151000,B
8327,9022001010188001,Stadsbiblioteket,59.343806,18.054696,0,9021001010188000,
8328,9022001010188002,Stadsbiblioteket,59.344224,18.056358,0,9021001010188000,
8332,9022001010191001,Roslagsgatan,59.345083,18.059916,0,9021001010191000,
8370,9022001010225001,Sveaplan,59.349698,18.049117,0,9021001010225000,
8374,9022001010225005,Sveaplan,59.350131,18.048456,0,9021001010225000,
8375,9022001010226001,Norrtullsgatan,59.346624,18.046426,0,9021001010226000,
8376,9022001010226002,Norrtullsgatan,59.346681,18.04676,0,9021001010226000,
8377,9022001010227001,Ynglingagatan,59.348763,18.046113,0,9021001010227000,
8378,9022001010227002,Ynglingagatan,59.348963,18.04513,0,9021001010227000,
8379,9022001010230001,Frejgatan,59.344522,18.04677,0,9021001010230000,
8380,9022001010230002,Frejgatan,59.344274,18.047091,0,9021001010230000,
8381,9022001010231001,Vanadisvägen,59.345815,18.045285,0,9021001010231000,
8382,9022001010231002,Vanadisvägen,59.345765,18.045527,0,9021001010231000,
8392,9022001010250001,Tjärhovsplan,59.316613,18.083385,0,9021001010250000,
8393,9022001010250002,Tjärhovsplan,59.316266,18.083593,0,9021001010250000,
8399,9022001010254001,Ersta sjukhus,59.31513,18.090146,0,9021001010254000,
8401,9022001010254003,Ersta sjukhus,59.315498,18.088975,0,9021001010254000,
8403,9022001010255002,Erstagatan,59.313731,18.090846,0,9021001010255000,
8404,9022001010255004,Erstagatan,59.314395,18.090204,0,9021001010255000,
8405,9022001010256001,Sofiaskolan,59.313048,18.09491,0,9021001010256000,
8407,9022001010256003,Sofiaskolan,59.313388,18.093431,0,9021001010256000,
8453,9022001010294003,Kungsträdgården,59.332241,18.07191,0,9021001010294000,
8553,9022001010414001,Kungsträdgården,59.331086,18.072596,0,9021001010414000,
8834,9022001010881003,Barnängen,59.309755,18.096743,0,9021001010881000,
8881,9022001010976001,Mandelparken,59.312555,18.099065,0,9021001010976000,
8882,9022001010976002,Mandelparken,59.311039,18.095988,0,9021001010976000,
8909,9022001011002014,Slussen,59.319123,18.074776,0,9021001011002000,F
8910,9022001011002015,Slussen,59.319978,18.072464,0,9021001011002000,G
