,stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code,direction
10916,9022001004547002,Solna centrum,59.361374,17.996267,0,9021001004547000,4,2
11105,9022001004543001,Sundbybergs centrum,59.360869,17.970454,0,9021001004543000,3,1
11106,9022001004543002,Sundbybergs centrum,59.360808,17.970361,0,9021001004543000,4,2
12760,9022001004505001,Linde,59.293295,18.063864,0,9021001004505000,1,1
12761,9022001004505002,Linde,59.293231,18.063403,0,9021001004505000,2,2
12762,9022001004507001,Valla torg,59.295104,18.047991,0,9021001004507000,1,1
12763,9022001004507002,Valla torg,59.294918,18.048892,0,9021001004507000,2,2
12764,9022001004509001,Årstafältet,59.296342,18.039206,0,9021001004509000,1,1
12765,9022001004509002,Årstafältet,59.296342,18.040225,0,9021001004509000,2,2
12766,9022001004513001,Årstadal,59.305943,18.025454,0,9021001004513000,1,1
12767,9022001004513002,Årstadal,59.305707,18.025596,0,9021001004513000,2,2
12768,9022001004517001,Trekanten,59.3142,18.017806,0,9021001004517000,1,1
12769,9022001004517002,Trekanten,59.313931,18.018808,0,9021001004517000,2,2
12770,9022001004521001,Stora Essingen,59.324882,17.992478,0,9021001004521000,1,1
12771,9022001004521002,Stora Essingen,59.324667,17.993501,0,9021001004521000,2,2
12772,9022001004527001,Mårtensdal,59.302579,18.08764,0,9021001004527000,1,1
12773,9022001004527002,Mårtensdal,59.302771,18.088426,0,9021001004527000,2,2
12774,9022001004529001,Luma,59.304202,18.095406,0,9021001004529000,1,1
12775,9022001004529002,Luma,59.304141,18.09635,0,9021001004529000,2,2
12776,9022001004531001,Sickla kaj,59.302659,18.103485,0,9021001004531000,1,1
12777,9022001004531002,Sickla kaj,59.302879,18.103763,0,9021001004531000,2,2
16106,9022001004535001,Johannesfred,59.342742,17.969767,0,9021001004535000,1,1
16107,9022001004535002,Johannesfred,59.342807,17.969667,0,9021001004535000,2,2
16118,9022001004547001,Solna centrum,59.361338,17.996282,0,9021001004547000,3,1
16119,9022001004511001,Årstaberg,59.299473,18.029421,0,9021001004511000,1,1
16120,9022001004511002,Årstaberg,59.299023,18.029989,0,9021001004511000,2,2
16121,9022001004515001,Liljeholmen,59.310615,18.024792,0,9021001004515000,5,1
16122,9022001004515002,Liljeholmen,59.310596,18.024826,0,9021001004515000,6,2
16885,9022001004549001,Solna station,59.363759,18.008237,0,9021001004549000,1,1
17847,9022001004523001,Alviks strand,59.329009,17.981972,0,9021001004523000,1,1
17848,9022001004523002,Alviks strand,59.328792,17.982081,0,9021001004523000,3,2
17860,9022001004519001,Gröndal,59.315994,18.011484,0,9021001004519000,1,1
17861,9022001004519002,Gröndal,59.315853,18.010961,0,9021001004519000,2,2
17961,9022001004501001,Gullmarsplan,59.299419,18.080371,0,9021001004501000,5,1
17962,9022001004501002,Gullmarsplan,59.299565,18.080257,0,9021001004501000,6,2
18129,9022001004525001,Alvik,59.333383,17.980188,0,9021001004525000,5,1
18130,9022001004525002,Alvik,59.333707,17.980198,0,9021001004525000,6,2
18424,9022001004539001,Karlsbodavägen,59.35598,17.961403,0,9021001004539000,1,1
18425,9022001004539002,Karlsbodavägen,59.355983,17.96128,0,9021001004539000,2,2
18426,9022001004541001,Bällsta bro,59.360669,17.963044,0,9021001004541000,1,1
18427,9022001004541002,Bällsta bro,59.360691,17.962887,0,9021001004541000,2,2
18428,9022001004545001,Solna Business Park,59.359693,17.979046,0,9021001004545000,1,1
18429,9022001004545002,Solna Business Park,59.359251,17.97994,0,9021001004545000,2,2
18430,9022001004549002,Solna station,59.36375,18.008201,0,9021001004549000,2,2
18459,9022001007611002,Sickla,59.306828,18.121004,0,9021001007611000,2,2
18460,9022001007611003,Sickla,59.306784,18.120947,0,9021001007611000,3,3
19489,9022001004537001,Norra Ulvsunda,59.34979,17.962553,0,9021001004537000,1,1
19490,9022001004537002,Norra Ulvsunda,59.349802,17.962395,0,9021001004537000,2,2
19811,9022001004503001,Globen,59.294033,18.076131,0,9021001004503000,3,1
19812,9022001004503002,Globen,59.294214,18.077091,0,9021001004503000,4,2
20781,9022001004533001,Sickla udde,59.306292,18.108313,0,9021001004533000,1,1
20782,9022001004533002,Sickla udde,59.306212,18.109239,0,9021001004533000,2,2
