,direction_id,order,start,start_stop_id,end,end_stop_id,A,B,C
0,0.0,1,Solna station,9022001004549002,Solna centrum,9022001004547001,0,100,0
1,0.0,2,Solna centrum,9022001004547001,Solna Business Park,9022001004545001,0,75,25
2,0.0,3,Solna Business Park,9022001004545001,Sundbybergs centrum,9022001004543001,40,0,60
3,0.0,4,Sundbybergs centrum,9022001004543001,Bällsta bro,9022001004541001,0,0,100
4,0.0,5,Bällsta bro,9022001004541001,Karlsbodavägen,9022001004539001,0,100,0
5,0.0,6,Karlsbodavägen,9022001004539001,Norra Ulvsunda,9022001004537001,75,25,0
6,0.0,7,Norra Ulvsunda,9022001004537001,Johannesfred,9022001004535001,100,0,0
7,0.0,8,Johannesfred,9022001004535001,Alvik,9022001004525001,100,0,0
8,0.0,9,Alvik,9022001004525001,Alviks strand,9022001004523001,65,35,0
9,0.0,10,Alviks strand,9022001004523001,Stora Essingen,9022001004521001,100,0,0
10,0.0,11,Stora Essingen,9022001004521001,Gröndal,9022001004519001,80,0,20
11,0.0,12,Gröndal,9022001004519001,Trekanten,9022001004517001,0,0,100
12,0.0,13,Trekanten,9022001004517001,Liljeholmen,9022001004515001,0,0,100
13,0.0,14,Liljeholmen,9022001004515001,Årstadal,9022001004513001,65,15,20
14,0.0,15,Årstadal,9022001004513001,Årstaberg,9022001004511001,80,20,0
15,0.0,16,Årstaberg,9022001004511001,Årstafältet,9022001004509001,0,100,0
16,0.0,17,Årstafältet,9022001004509001,Valla torg,9022001004507001,0,100,0
17,0.0,18,Valla torg,9022001004507001,Linde,9022001004505001,100,0,0
18,0.0,19,Linde,9022001004505001,Globen,9022001004503001,100,0,0
19,0.0,20,Globen,9022001004503001,Gullmarsplan,9022001004501001,100,0,0
20,0.0,21,Gullmarsplan,9022001004501001,Mårtensdal,9022001004527001,80,0,20
21,0.0,22,Mårtensdal,9022001004527001,Luma,9022001004529001,0,0,100
22,0.0,23,Luma,9022001004529001,Sickla kaj,9022001004531001,0,0,100
23,0.0,24,Sickla kaj,9022001004531001,Sickla udde,9022001004533001,0,0,100
24,0.0,25,Sickla udde,9022001004533001,Sickla,9022001007611002,35,65,0
25,1.0,25,Solna station,9022001004549002,Solna centrum,9022001004547002,0,100,0
26,1.0,24,Solna centrum,9022001004547002,Solna Business Park,9022001004545002,0,75,25
27,1.0,23,Solna Business Park,9022001004545002,Sundbybergs centrum,9022001004543002,40,0,60
28,1.0,22,Sundbybergs centrum,9022001004543002,Bällsta bro,9022001004541002,0,0,100
29,1.0,21,Bällsta bro,9022001004541002,Karlsbodavägen,9022001004539002,0,100,0
30,1.0,20,Karlsbodavägen,9022001004539002,Norra Ulvsunda,9022001004537002,75,25,0
31,1.0,19,Norra Ulvsunda,9022001004537002,Johannesfred,9022001004535002,100,0,0
32,1.0,18,Johannesfred,9022001004535002,Alvik,9022001004525002,100,0,0
33,1.0,17,Alvik,9022001004525002,Alviks strand,9022001004523002,65,35,0
34,1.0,16,Alviks strand,9022001004523002,Stora Essingen,9022001004521002,100,0,0
35,1.0,15,Stora Essingen,9022001004521002,Gröndal,9022001004519002,80,0,20
36,1.0,14,Gröndal,9022001004519002,Trekanten,9022001004517002,0,0,100
37,1.0,13,Trekanten,9022001004517002,Liljeholmen,9022001004515002,0,0,100
38,1.0,12,Liljeholmen,9022001004515002,Årstadal,9022001004513002,65,15,20
39,1.0,11,Årstadal,9022001004513002,Årstaberg,9022001004511002,80,20,0
40,1.0,10,Årstaberg,9022001004511002,Årstafältet,9022001004509002,0,100,0
41,1.0,9,Årstafältet,9022001004509002,Valla torg,9022001004507002,0,100,0
42,1.0,8,Valla torg,9022001004507002,Linde,9022001004505002,100,0,0
43,1.0,7,Linde,9022001004505002,Globen,9022001004503002,100,0,0
44,1.0,6,Globen,9022001004503002,Gullmarsplan,9022001004501002,100,0,0
45,1.0,5,Gullmarsplan,9022001004501002,Mårtensdal,9022001004527002,80,0,20
46,1.0,4,Mårtensdal,9022001004527002,Luma,9022001004529002,0,0,100
47,1.0,3,Luma,9022001004529002,Sickla kaj,9022001004531002,0,0,100
48,1.0,2,Sickla kaj,9022001004531002,Sickla udde,9022001004533002,0,0,100
49,1.0,1,Sickla udde,9022001004533002,Sickla,9022001007611002,35,65,0
